State,Population_est_2022
Alabama,5076181
Alaska,734442
Arizona,7377566
Arkansas,3047704
California,39142414
Colorado,5850935
Connecticut,3617925
Delaware,1020625"
District of Columbia,676725
Florida,22379312
Georgia,10931805
Hawaii,1440359
Idaho,1944299
Illinois,12621821
Indiana,6844545
Iowa,3202820
Kansas,2937324
Kentucky,4519233
Louisiana,4593687
Maine,1390922
Maryland,6192440
Massachusetts,7022468
Michigan,10050877
Minnesota,5721621
Mississippi,2941939
Missouri,6179414
Montana,1122095
Nebraska,1972246
Nevada,3176116
New Hampshire,1396678
New Jersey,9295227
New Mexico,2113868
New York,19703747
North Carolina,10710793
North Dakota,781057
Ohio,11777874
Oklahoma,4026229
Oregon,4247372
Pennsylvania,12984990
Rhode Island,1099498
South Carolina,5287935
South Dakota,909723
Tennessee,7062217
Texas,30113488
Utah,3391011
Vermont,648142
Virginia,8683414
Washington,7794123
West Virginia,1774122
Wisconsin,5903975
Wyoming,581978
