jurisdiction,total_prison_pop_22,num_prison_workers,lower_bound_pay_non_industry,upper_bound_pay_non_industry,lower_bound_pay_state_industry,upper_bound_pay_state_industry,mean_pay_non_industry,mean_pay_state_industry,minimum_wage_2022,total_co_employment,annual_mean_salary,correction_expends_abv,total_correction_expends
Alabama,26421,,0.0,0.0,0.25,0.75,0.0,0.5,0.0,5310.0,41240.0,799779,799779000
Alaska,4778,,0.3,0.9,,,0.6,,10.34,1240.0,67940.0,441001,441001000
Arizona,33865,18097.0,0.15,0.45,0.23,1.0,0.3,0.62,12.8,12790.0,47270.0,1410674,1410674000
Arkansas,17625,7837.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4630.0,39170.0,359934,359934000
California,97608,64788.0,0.08,0.37,0.35,1.0,0.22,0.68,14.0,35310.0,84520.0,11089374,11089374000
Colorado,17168,10392.0,0.33,1.61,0.86,2.49,0.97,1.68,12.56,6520.0,56810.0,1193677,1193677000
Connecticut,10506,,0.12,0.9,0.3,1.5,0.51,0.9,14.0,3540.0,56370.0,702149,702149000
Delaware,4954,,,,0.25,2.0,,1.12,10.5,1680.0,51070.0,447049,447049000
Federal,159309,,0.12,0.4,0.23,1.15,0.26,0.69,7.25,,,61396153,61396153000
Florida,84678,,0.0,0.32,0.2,0.95,0.16,0.57,10.0,16870.0,48720.0,3028852,3028852000
Georgia,48439,,0.0,0.0,0.0,0.0,0.0,0.0,7.25,9930.0,38270.0,1734037,1734037000
Hawaii,4149,,0.25,1.0,0.5,2.5,0.62,1.5,12.0,1290.0,63120.0,235403,235403000
Idaho,9110,,0.2,0.9,,,0.55,,7.25,1530.0,47680.0,369574,369574000
Illinois,29634,,0.13,0.39,0.3,2.4,0.26,1.35,12.0,12900.0,64840.0,1735609,1735609000
Indiana,25286,,0.12,0.25,0.3,0.55,0.18,0.43,7.25,7240.0,41330.0,834267,834267000
Iowa,8473,,0.28,0.71,0.7,0.95,0.5,0.82,7.25,3250.0,50580.0,340506,340506000
Kansas,8709,,0.06,0.13,0.25,3.0,0.1,1.62,7.25,3100.0,41110.0,460871,460871000
Kentucky,19744,,0.1,0.3,,,0.2,,7.25,4840.0,37870.0,745033,745033000
Louisiana,27296,,0.02,0.04,0.02,0.4,0.03,0.21,0.0,5620.0,38400.0,844573,844573000
Maine,1675,,0.0,1.57,0.5,2.8,0.78,1.65,12.75,1150.0,44360.0,204923,204923000
