jurisdiction,total_prison_pop_22,white_pop_22,black_pop_22,hispanic_pop_22,american_indian_pop_22,asian_pop_22,pic_pop_22,more_races_pop_22,other_pop_22,unknown_pop_22,no_report_pop_22
Federal,159309,47974,58120,47241.0,3838,2137.0,,,,,0
Alabama,26421,12249,13924,0.0,3,5.0,0.0,0.0,240.0,,0
Alaska,4778,1740,446,121.0,1870,220.0,,,,42.0,339
Arizona,33865,12637,5187,13371.0,1860,164.0,0.0,0.0,566.0,25.0,55
Arkansas,17625,9913,6954,617.0,40,56.0,19.0,0.0,26.0,0.0,0
California,97608,19625,27273,44402.0,1123,1159.0,308.0,,3718.0,,0
Colorado,17168,7989,3045,5192.0,622,184.0,37.0,,35.0,0.0,64
Connecticut,10506,3088,4356,2962.0,43,57.0,0.0,0.0,0.0,0.0,0
Delaware,4954,1617,2994,332.0,1,6.0,0.0,0.0,0.0,4.0,0
Florida,84678,33507,39978,10793.0,92,20.0,11.0,0.0,270.0,7.0,0
Georgia,48439,17866,28453,1994.0,23,167.0,0.0,0.0,0.0,15.0,0
Hawaii,4149,932,192,102.0,18,633.0,1812.0,139.0,0.0,257.0,64
Idaho,9110,6687,292,1343.0,341,58.0,,,,304.0,85
Illinois,29634,9687,15982,3701.0,41,101.0,0.0,57.0,,65.0,0
Indiana,25286,15224,7724,971.0,48,65.0,8.0,188.0,,41.0,1017
Iowa,8473,5303,2240,638.0,190,,,,96.0,6.0,0
Kansas,8709,4823,2338,1234.0,225,88.0,0.0,0.0,0.0,1.0,0
Kentucky,19744,14958,4135,344.0,11,0.0,0.0,245.0,31.0,16.0,4
Louisiana,27296,9460,17714,71.0,12,35.0,0.0,,2.0,2.0,0
Maine,1675,1333,178,,64,9.0,1.0,25.0,,53.0,12
Maryland,15637,3469,11136,765.0,70,52.0,17.0,,106.0,22.0,0
Massachusetts,6001,2422,1739,1576.0,42,101.0,,,,121.0,0
Michigan,32374,13300,15750,771.0,422,108.0,28.0,1224.0,0.0,771.0,0
Minnesota,8636,4006,3136,445.0,824,211.0,,,,14.0,0
Mississippi,19802,7795,11716,206.0,37,38.0,0.0,0.0,0.0,10.0,0
Missouri,23911,15107,7735,559.0,92,50.0,,,,52.0,316
Montana,4691,3217,112,158.0,1193,,,,11.0,0.0,0
Nebraska,5649,2795,1600,860.0,276,47.0,5.0,,63.0,3.0,0
Nevada,10304,3810,3200,2715.0,236,213.0,121.0,0.0,0.0,9.0,0
New Hampshire,2086,1714,154,134.0,8,4.0,0.0,,43.0,29.0,0
New Jersey,12657,2888,7738,1877.0,6,99.0,0.0,,0.0,49.0,0
New Mexico,4970,1331,343,3092.0,482,9.0,23.0,0.0,0.0,40.0,0
New York,31148,7142,15325,7417.0,329,216.0,,,518.0,201.0,0
North Carolina,29627,12186,14783,1792.0,582,94.0,,,,190.0,0
North Dakota,1817,983,223,110.0,490,6.0,5.0,,,,0
Ohio,45313,22328,19617,1161.0,87,82.0,,,483.0,,1555
Oklahoma,22941,11336,6282,1911.0,1943,88.0,30.0,,67.0,53.0,1231
Oregon,12518,9218,1099,1610.0,371,182.0,34.0,,,4.0,0
Pennsylvania,37910,19813,17841,,28,169.0,,0.0,0.0,59.0,0
Rhode Island,2393,900,728,677.0,22,32.0,,,43.0,1.0,0
South Carolina,16318,6271,9457,444.0,25,23.0,0.0,,98.0,0.0,0
South Dakota,3444,1729,273,135.0,1271,18.0,5.0,,13.0,0.0,0
Tennessee,23735,13255,9797,573.0,41,68.0,,,,1.0,0
Texas,139631,46995,45034,46789.0,66,557.0,0.0,0.0,190.0,0.0,0
Utah,6009,3454,479,1253.0,347,64.0,161.0,0.0,0.0,251.0,0
Vermont,1360,1136,152,0.0,18,4.0,1.0,0.0,42.0,7.0,0
Virginia,27162,11573,14460,957.0,32,120.0,0.0,0.0,,20.0,0
Washington,13772,7588,2368,2315.0,763,599.0,0.0,0.0,56.0,83.0,0
West Virginia,5873,4936,836,53.0,3,1.0,0.0,44.0,0.0,0.0,0
Wisconsin,20873,9153,8312,2168.0,985,249.0,0.0,0.0,,6.0,0
Wyoming,2154,1602,101,262.0,176,4.0,3.0,0.0,3.0,3.0,0
