,race_category,marital_status,arrest_year,admit_year,primary_offense,violent_offense_type,has_work_assignment,work_assignment,work_assignment_required,WA_break_up_boredom,WA_friendship,WA_early_release,WA_learn_job_skills,WA_make_spending_money
0,white,never_married,1993,1993,violent,murder/manslaughter,yes,janitorial,yes,,,,,
1,white,married,2005,2005,property,nonviolent,no,no_WA,,,,,,
2,white,never_married,2010,,drug,nonviolent,yes,janitorial,yes,,,,,
3,white,never_married,2016,2016,property,nonviolent,no,no_WA,,,,,,
4,black,never_married,2009,2010,violent,other_violent_offense,yes,goods_production/industries,yes,,,,,
5,white,married,2013,2015,property,nonviolent,no,no_WA,,,,,,
6,black,never_married,2015,2015,violent,other_violent_offense,no,no_WA,,,,,,
7,black,married,2010,2010,violent,other_violent_offense,no,no_WA,,,,,,
8,american_indian/alaska_native,never_married,2015,2015,property,nonviolent,yes,food,yes,,,,,
9,black,married,2015,2016,property,nonviolent,yes,general_services,yes,,,,,
10,white,never_married,2013,2014,drug,nonviolent,yes,maintenance/repair/construction,yes,,,,,
11,white,divorced,2004,2005,violent,other_violent_offense,yes,farming/forestry/ranching,yes,,,,,
12,white,never_married,2015,2015,property,nonviolent,yes,medical,yes,,,,,
13,other,never_married,2014,2015,violent,other_violent_offense,no,no_WA,,,,,,
14,white,divorced,2015,2015,public_order,nonviolent,no,no_WA,,,,,,
15,american_indian/alaska_native,divorced,2008,2008,violent,murder/manslaughter,yes,goods_production/industries,yes,,,,,
16,black,divorced,2014,2014,property,nonviolent,yes,food,yes,,,,,
17,black,never_married,2010,2011,violent,other_violent_offense,no,no_WA,,,,,,
18,white,never_married,2015,2016,drug,nonviolent,yes,general_services,yes,,,,,
19,black,never_married,2013,2013,public_order,nonviolent,no,no_WA,,,,,,
20,american_indian/alaska_native,never_married,2015,2015,property,nonviolent,no,no_WA,,,,,,
21,black,never_married,2013,2015,violent,,no,no_WA,,,,,,
22,white,never_married,2012,2014,public_order,nonviolent,yes,janitorial,yes,,,,,
23,white,never_married,2013,2016,drug,nonviolent,yes,food,yes,,,,,
24,american_indian/alaska_native,divorced,2012,2013,violent,rape,no,no_WA,,,,,,
25,other,married,2014,2015,property,nonviolent,yes,janitorial,yes,,,,,
26,other,separated,2015,2015,property,nonviolent,no,no_WA,,,,,,
27,white,never_married,2014,2014,property,nonviolent,yes,grounds/road_maintenance,yes,,,,,
28,hispanic/latino,never_married,2013,2015,drug,nonviolent,no,no_WA,,,,,,
29,white,never_married,2004,2004,property,nonviolent,yes,general_services,yes,,,,,
30,native_hawaiian/pacific_islander,never_married,2016,2016,drug,nonviolent,no,no_WA,,,,,,
31,black,never_married,2013,2013,violent,other_violent_offense,no,no_WA,,,,,,
32,white,separated,2014,2016,drug,nonviolent,yes,general_services,yes,,,,,
33,white,divorced,2016,2016,violent,,no,no_WA,,,,,,
34,white,never_married,2015,2015,drug,nonviolent,yes,janitorial,yes,,,,,
35,other,divorced,1998,2001,drug,nonviolent,yes,janitorial,yes,,,,,
36,american_indian/alaska_native,separated,2009,2010,violent,,yes,other,yes,,,,,
37,white,divorced,2012,2013,violent,murder/manslaughter,yes,laundry,yes,,,,,
39,white,never_married,2004,2007,violent,other_violent_offense,yes,goods_production/industries,yes,,,,,
40,white,never_married,2015,2015,violent,other_violent_offense,yes,janitorial,yes,,,,,
41,hispanic/latino,never_married,2012,2013,public_order,nonviolent,yes,food,yes,,,,,
42,white,divorced,2011,2013,public_order,nonviolent,yes,janitorial,yes,,,,,
43,american_indian/alaska_native,divorced,2014,2014,drug,nonviolent,yes,other,yes,,,,,
45,black,never_married,2012,2012,violent,other_violent_offense,yes,janitorial,yes,,,,,
46,other,never_married,2010,2011,violent,other_violent_offense,no,no_WA,,,,,,
47,white,widowed,2013,2015,violent,murder/manslaughter,yes,food,yes,,,,,
48,other,never_married,2010,2016,,,no,no_WA,,,,,,
49,black,married,1972,1974,violent,murder/manslaughter,yes,janitorial,yes,,,,,
50,white,never_married,2014,2014,other,nonviolent,yes,janitorial,yes,,,,,
51,black,never_married,2014,2014,violent,other_violent_offense,no,no_WA,,,,,,
52,white,never_married,2008,2010,public_order,nonviolent,yes,other,yes,,,,,
53,white,divorced,2013,2015,violent,other_violent_offense,yes,food,yes,,,,,
54,white,never_married,2015,2016,violent,other_violent_offense,yes,food,yes,,,,,
55,black,married,2015,2015,property,nonviolent,yes,food,yes,,,,,
56,white,never_married,2015,2015,public_order,nonviolent,no,no_WA,,,,,,
57,american_indian/alaska_native,widowed,2015,2016,,,no,no_WA,,,,,,
58,american_indian/alaska_native,never_married,2013,2014,public_order,nonviolent,no,no_WA,,,,,,
59,black,separated,2004,2006,violent,other_violent_offense,no,no_WA,,,,,,
60,american_indian/alaska_native,never_married,2011,2015,drug,nonviolent,no,no_WA,,,,,,
63,other,never_married,2015,2015,public_order,nonviolent,yes,janitorial,yes,,,,,
64,black,never_married,,,violent,other_violent_offense,no,no_WA,,,,,,
65,white,never_married,2014,2015,property,nonviolent,yes,other,yes,,,,,
