Type of Expenditure,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total,"2,784,697,896","37,211,367","11,678,662","53,482,138","26,657,104","446,184,783","40,904,355","31,455,478","11,974,347","110,966,804","58,649,987","15,546,108","12,639,243","109,616,681","49,332,797","26,014,188","23,394,894","40,453,983","41,770,194","12,695,505","58,015,500","76,485,426","83,861,746","53,229,061","22,546,566","37,703,688","8,100,321","13,457,590","18,461,084","10,086,659","92,408,422","28,089,552","226,270,434","77,673,810","8,850,808","91,393,368","28,094,216","45,428,607","114,420,288","11,127,619","39,381,977","6,134,617","41,244,710","185,316,350","28,361,524","8,655,476","70,890,105","67,764,837","17,725,607","47,018,990","5,870,320"
 General expenditure,"2,745,170,227","36,747,191","11,610,195","53,457,920","26,657,104","445,077,286","40,895,229","30,780,001","11,797,795","110,692,113","58,574,350","15,546,108","12,448,073","109,594,294","49,332,797","25,703,299","23,394,894","40,418,517","41,763,544","12,493,576","55,381,382","72,567,672","82,587,617","52,929,943","22,029,301","37,697,795","7,964,543","13,457,590","18,426,090","9,488,381","88,464,189","28,087,623","212,827,092","77,575,911","8,780,380","89,980,301","27,281,944","44,821,670","112,347,738","11,011,660","37,674,963","6,118,664","41,244,095","185,245,957","28,002,248","8,569,739","69,569,245","67,742,617","17,609,629","46,966,604","5,733,358"
Intergovernmental expenditure,"748,952,079","10,860,411","2,335,985","12,040,921","7,652,733","156,521,072","9,699,949","7,931,682","2,262,666","23,183,354","15,625,534","80,130","3,527,024","32,302,689","12,855,565","6,755,869","6,512,557","7,039,380","9,494,930","2,227,007","12,378,357","13,249,866","28,745,685","17,064,158","6,659,969","8,067,006","1,344,764","3,285,878","6,317,236","2,110,704","19,558,469","6,990,559","74,261,405","22,296,839","2,581,744","24,144,100","6,157,032","8,359,282","27,892,001","1,758,743","8,188,822","1,173,926","11,557,916","41,596,396","5,561,892","2,217,310","16,160,236","21,554,359","3,632,454","13,473,009","1,702,504"
    Direct expenditure,"1,996,218,148","25,886,780","9,274,210","41,416,999","19,004,371","288,556,214","31,195,280","22,848,319","9,535,129","87,508,759","42,948,816","15,465,978","8,921,049","77,291,605","36,477,232","18,947,430","16,882,337","33,379,137","32,268,614","10,266,569","43,003,025","59,317,806","53,841,932","35,865,785","15,369,332","29,630,789","6,619,779","10,171,712","12,108,854","7,377,677","68,905,720","21,097,064","138,565,687","55,279,072","6,198,636","65,836,201","21,124,912","36,462,388","84,455,737","9,252,917","29,486,141","4,944,738","29,686,179","143,649,561","22,440,356","6,352,429","53,409,009","46,188,258","13,977,175","33,493,595","4,030,854"
    Education,"881,249,061","15,658,141","2,828,531","17,286,157","10,126,704","131,862,256","14,971,992","9,045,013","3,954,490","36,134,286","24,607,081","4,307,862","4,299,339","30,535,131","18,582,619","8,282,083","8,853,413","11,766,120","12,446,921","3,054,669","17,670,786","16,294,439","31,458,781","18,198,714","6,696,133","12,004,706","2,146,036","4,639,522","6,645,324","2,611,740","32,091,495","7,468,474","52,825,714","27,765,403","3,042,600","26,714,490","9,705,174","12,529,656","32,080,944","2,709,104","14,576,256","1,848,601","13,394,007","70,987,177","12,152,848","3,497,553","21,598,653","26,996,237","5,227,090","14,870,930","2,197,666"
    Public welfare,"990,506,825","8,993,079","3,331,180","25,202,743","9,491,215","190,561,779","13,818,292","5,530,666","3,517,335","37,309,373","17,060,991","4,037,410","4,197,173","37,925,486","19,540,160","8,428,435","5,952,459","16,831,604","16,804,747","4,960,094","19,535,546","32,018,223","25,494,048","20,805,356","7,375,049","12,039,961","2,910,332","4,242,099","5,063,354","3,607,959","26,530,009","9,437,284","92,193,579","23,707,434","2,024,458","38,224,022","9,248,845","17,046,471","43,755,593","4,114,328","9,868,987","1,693,861","15,185,533","61,194,235","6,464,406","2,354,963","22,111,315","16,534,526","6,310,367","14,909,922","1,010,539"
    Hospitals,"122,575,747","4,377,376","38,023",312,"1,372,651","20,513,730","1,560,042","1,891,644","80,300","1,615,139","1,651,089","475,829","81,850","1,364,853","146,519","2,974,050","3,440,194","2,870,024","452,331","108,676","491,857","914,067","5,778,589","342,535","1,828,670","3,092,181","78,980","207,384","333,377","114,962","2,915,954","3,671,882","6,932,959","3,067,010","48,292","5,613,269","372,812","3,422,987","7,362,681","77,537","3,477,180","45,411","480,143","10,593,939","3,046,634","31,713","5,626,360","4,605,749","97,794","2,885,376","2,831"
    Health,"100,298,332","685,689","408,871","1,030,053","339,953","12,405,515","1,374,122","1,324,959","672,666","7,216,218","2,329,841","736,399","264,333","2,401,902","878,709","365,180","795,208","862,646","814,549","247,674","4,076,633","2,460,060","2,457,149","1,397,798","450,539","2,423,560","244,122","353,194","435,032","203,926","2,332,828","510,216","12,248,089","2,116,895","297,521","2,815,359","1,118,875","2,228,247","4,163,603","727,767","1,784,256","143,300","1,974,809","6,488,443","635,227","466,595","2,364,475","5,586,218","570,804","1,686,705","381,600"
    Highways,"156,998,984","1,788,305","1,282,596","2,446,583","1,999,620","18,600,134","2,204,065","1,659,422","660,292","9,462,303","3,639,120","671,511","997,619","6,111,879","3,966,968","2,351,078","1,457,590","2,441,895","1,807,901","872,760","2,649,961","2,768,563","4,904,231","3,162,032","1,144,430","1,823,186","752,644","997,312","973,877","492,582","4,036,209","1,034,114","7,182,688","6,079,974","713,173","4,463,187","2,864,485","1,908,969","8,765,306","545,211","1,929,451","804,225","2,128,517","12,733,998","1,700,451","499,179","6,703,905","3,287,196","1,644,727","3,320,760","562,800"
    Police protection,"22,750,235","226,994","222,802","498,715","124,579","2,407,240","271,084","305,561","195,502","724,851","656,426","59,009","83,288","667,406","374,774","138,515","131,038","360,155","501,404","121,930","986,521","749,975","659,542","643,753","191,117","342,473","74,409","114,200","129,793","85,629","1,268,430","189,437","1,203,271","775,464","43,149","587,081","206,548","329,394","1,745,119","130,157","254,079","64,854","336,478","1,562,043","205,346","95,997","943,719","544,663","116,011","54,802","45,508"
    Correction,"61,396,153","799,779","441,001","1,410,674","359,934","11,089,374","1,193,677","702,149","447,049","3,028,852","1,734,037","235,403","369,574","1,735,609","834,267","340,506","460,871","745,033","844,573","204,923","1,694,528","1,638,342","1,917,553","635,176","313,852","782,959","224,661","485,150","415,344","162,647","1,616,262","520,069","3,274,868","1,789,274","127,164","2,134,924","619,842","1,195,051","2,696,941","275,113","647,092","148,717","1,045,095","4,229,695","465,808","169,181","2,144,489","1,313,574","339,510","1,259,685","136,302"
    Natural resources,"30,757,794","294,552","473,659","435,435","315,421","7,653,352","591,733","242,381","99,296","2,017,894","695,795","149,175","307,678","339,110","441,101","476,109","244,969","441,969","1,014,818","228,263","693,550","362,498","474,427","762,353","359,168","409,136","285,901","214,182","146,886","95,551","710,290","297,907","588,919","759,612","258,989","565,559","243,327","812,122","769,920","101,439","317,851","200,506","608,694","1,126,812","303,152","140,479","464,612","1,035,435","280,203","665,123","240,481"
    Parks and recreation,"8,482,727","35,683","14,032","117,103","78,796","1,221,455","120,846","77,321","75,276","198,431","164,774","68,694","52,637","230,684","59,266","35,946","53,129","150,474","374,057","11,648","218,595","231,032","195,837","335,455","39,464","41,395","38,150","66,453","34,626","33,318","331,048","65,149","858,690","278,499","29,942","117,384","84,731","106,993","536,698","31,051","232,684","57,909","152,154","393,308","92,233","37,539","191,381","362,479","85,720","32,970","29,588"
    Governmental administration,"95,421,496","878,074","804,063","919,860","902,780","11,763,029","1,768,179","1,868,425","751,420","3,444,045","1,250,642","1,308,381","515,040","2,929,815","892,743","776,686","732,148","1,674,781","948,743","507,780","2,361,617","2,804,955","2,218,387","2,201,944","589,897","1,099,142","542,086","398,744","561,500","829,731","5,276,438","956,898","7,593,744","6,147,581","349,456","2,358,455","863,387","1,874,345","4,212,196","813,694","1,171,925","412,444","1,630,797","4,975,245","1,522,494","363,170","2,730,391","1,413,178","903,387","1,303,064","304,570"
    Interest on general debt,"37,486,677","347,164","150,449","358,617","213,408","5,238,607","897,005","1,444,600","215,575","906,648","694,832","135,328","87,385","2,554,078","280,920","179,326","111,794","121,081","602,255","139,387","1,056,595","2,539,314","847,045","612,607","274,042","258,549","117,649","40,624","151,534","281,278","2,385,833","225,463","3,979,069","634,949","114,260","1,376,968","247,031","189,973","1,459,318","201,032","146,513","117,957","238,816","1,552,490","185,955","88,755","1,206,494","1,390,631","297,227","560,180","30,067"
    Other and unallocable,"237,246,196","2,662,355","1,614,988","3,751,668","1,332,043","31,760,815","2,124,192","6,687,860","1,128,594","8,634,073","4,089,722","3,361,107","1,192,157","22,798,341","3,334,751","1,355,385","1,162,081","2,152,735","5,151,245","2,035,772","3,945,193","9,786,204","6,182,028","3,832,220","2,766,940","3,380,547","549,573","1,698,726","3,535,443","969,058","8,969,393","3,710,730","23,945,502","4,453,816","1,731,376","5,009,603","1,706,887","3,177,462","4,799,419","1,285,227","3,268,689","580,879","4,069,052","9,408,572","1,227,694","824,615","3,483,451","4,672,731","1,736,789","5,417,087","791,406"
  Utility expenditure,"30,253,739",95,"68,467","24,218",,"1,107,497","9,126","675,477","176,552","274,691","75,637",0,,"22,387",0,196,,"35,466","6,650","31,264","2,634,118","3,917,754",147,"299,118",0,"5,893","15,770",0,"34,994","23,544","3,944,233","1,929","13,443,342","97,899","70,428",0,"812,272","29,306","11,775","115,959","1,707,014","15,953",615,"70,393",0,"5,138","401,126","22,220","12,688","52,386",2
  Liquor stores expenditure,"9,273,930","464,081",,,,,,,,,,,"191,170",,,"310,693",,0,,"170,665",,,"1,273,982",,"517,265",,"120,008",,,"574,734",,,,,,"1,413,067",,"577,631","2,060,775",,,,,,"359,276","80,599","919,734",0,"103,290",,"136,960"
  Insurance trust expenditure,"326,815,713","3,943,434","1,616,509","5,406,357","2,474,058","38,912,128","7,594,165","5,590,486","870,422","13,076,725","9,425,749","1,131,089","1,069,414","17,227,643","2,970,927","3,656,778","2,325,144","5,217,774","5,719,973","1,575,278","5,288,305","8,397,814","9,329,398","7,029,567","3,339,364","5,712,830","1,274,900","1,114,360","3,704,126","959,124","7,233,280","2,551,582","28,264,693","7,489,273","700,351","19,343,475","3,064,636","7,501,904","14,021,116","1,418,469","4,188,745","718,899","1,596,170","23,674,779","2,115,780","1,604,514","6,218,066","9,819,410","1,581,776","6,805,313","949,642"
Debt at end of fiscal year,"1,113,243,076","11,266,563","5,493,142","7,016,994","7,608,381","159,573,569","20,537,521","33,095,934","4,093,186","22,343,571","13,828,938","11,922,940","929,002","41,804,277","8,477,908","6,906,017","7,612,422","10,109,145","16,521,105","3,899,628","25,423,205","65,553,011","26,157,960","17,744,976","7,472,453","7,027,362","2,926,188","2,735,739","3,756,918","7,420,599","57,676,486","6,511,487","153,839,876","14,083,536","3,547,465","33,284,334","10,095,106","14,630,471","47,544,269","6,186,615","15,099,061","3,949,806","8,094,851","63,819,011","6,091,784","2,579,676","32,626,248","29,472,126","20,012,449","23,645,029","1,194,736"
Cash and security holdings,"4,630,144,213","58,013,648","18,249,049","66,002,742","36,617,608","896,711,648","77,694,946","45,489,867","12,968,505","185,680,031","110,953,081","19,244,232","24,201,617","170,881,176","39,978,391","47,332,333","26,489,751","41,136,560","58,899,515","18,115,522","71,982,023","81,279,088","89,691,121","84,475,509","33,225,402","87,326,021","16,005,492","19,180,401","55,656,041","11,246,378","87,472,180","32,145,782","414,462,882","117,980,211","9,343,621","247,801,352","37,899,948","110,267,397","114,995,741","10,628,167","42,177,414","14,436,708","32,122,357","325,725,306","47,698,591","5,101,775","102,027,235","159,575,072","20,714,246","177,918,427","14,922,106"
